video_id,title,channel,category_id,published_at,views,likes,comments,duration,hour,day_of_week,month,engagement_rate
QFjteAz9Ylk,"#Video | 6 गोली मारव नथुनिया पS | #Khesari Lal Yadav, Srishti Bharti | 6 Goli Marab Nathuniya Pa",GMJ - Global Music Junction - Bhojpuri,10,2026-06-07 01:40:17+00:00,3089763,135543,14583,PT3M29S,1,Sunday,June,4.86
oyD1ZsJbxL8,LEAKED ! Spiderman Brand New Day Tamil Trailer 2 Breakdown (தமிழ்),Mokka Commentry,24,2026-06-09 11:30:06+00:00,77705,5701,235,PT10M29S,11,Tuesday,June,7.64
IMAnAT5fdUg,FINDING MY NEW GUILD MEMBERS,SATVIK,20,2026-06-09 02:30:31+00:00,945134,28001,6604,PT35M54S,2,Tuesday,June,3.66
ZNbNsCgJyU4,Chahat Ko Tum Zinda Rakhna | New Hindi Sad Romantic Song Bollywood Evergreen Sad Song  90s Love Song,Morpankh Music,10,2026-06-06 00:10:22+00:00,307632,584,7,PT5M26S,0,Saturday,June,0.19
Y36m3IHyMkQ,Spider-Man Trailer Leaks Again? Doomsday Trailer Scam? - RoastVerse 172,ComicVerse,24,2026-06-08 16:08:39+00:00,452456,23664,690,PT15M42S,16,Monday,June,5.38
9yBvX6extDA,Franklin & Shinchan Buy The World's Most Luxurious Camper Van In GTA 5! | GTA 5 Telugu Gameplay,Pennem Star,20,2026-06-08 11:05:20+00:00,449814,5693,90,PT29M44S,11,Monday,June,1.29
RrfFO5NMphc,Tanha Reh Jayege – Aarzoo Khaan | Emotional Hindi Sad Song | New Song 2026 | Arijit Singh Vibe,Aarzoo Khaan,10,2026-06-09 02:00:15+00:00,521708,3745,148,PT7M10S,2,Tuesday,June,0.75
d-PUa2YoiNg,"Raakh - Official Trailer 2 | Ali Fazal, Sonali Bendre, Aamir Bashir, Rakesh Bedi | Prime Video India",Prime Video India,24,2026-06-10 06:30:05+00:00,55472,1089,31,PT1M22S,6,Wednesday,June,2.02
KQsT2MdKHSA,🔴GTA 5 LIVE – DON’T BLINK I USED A SECRET GTA 5 MOD ON LIVE STREAM#gtalive #gtaonline,RSG SIDHARTH YT,20,2026-06-10 06:23:45+00:00,479969,1015,0,PT1H58M49S,6,Wednesday,June,0.21
RJLm5-QL61A,C Walk,Karan Aujla - Topic,10,2026-06-07 18:14:27+00:00,2493844,97686,4065,PT2M57S,18,Sunday,June,4.08
FOoAcoG8lxo,Jeevan Bheema Yojana Official Teaser | Arshad Warsi Double Role | In Cinemas 2026,STARBEAM,24,2026-06-08 18:53:44+00:00,197762,3136,80,PT1M17S,18,Monday,June,1.63
Os-4ItYcJJQ,الرجل العنكبوت انقاذ باتمان Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,hamad alketbi,20,2026-06-09 16:26:18+00:00,924655,21529,4092,PT18M48S,16,Tuesday,June,2.77
_26Qk-hdN9A,"Jab Tum Aa Jaate Ho (From ""Maharaja"") Govinda, Manisha Koirala | Sonu Nigam | Kavita Krishnamurthy",UMusicIndiaVEVO,10,2026-06-08 05:30:35+00:00,328890,1522,10,PT6M15S,5,Monday,June,0.47
67ho3OxCmmM,Whalefall | Official Teaser | In Theaters October 16,20th Century Studios,1,2026-06-09 16:00:21+00:00,1940541,25064,3855,PT2M26S,16,Tuesday,June,1.49
IYmOWCddQe4,BECOME A BILLIONAIRE ROBLOX 😱,GamerBlox,20,2026-06-10 03:30:07+00:00,298177,20781,1745,PT21M54S,3,Wednesday,June,7.55
EBHqa0BnsIE,#Video गावे के हवेली | #Pramod Premi Yadav & #Karishma Kakkar | Gawe Ke Haweli | Bhojpuri Song 2026,Yuvraj Music,22,2026-06-08 01:15:10+00:00,90640,2665,110,PT3M18S,1,Monday,June,3.06
sF5HFoT0bhw,"SHIKAR - Trailer | Amlan, Elina, Supriya & Ankit | Raja 2026 | Moon TV Movies | Sidharth Music",Sidharth Music,10,2026-06-09 15:00:06+00:00,57139,3991,358,PT2M43S,15,Tuesday,June,7.61
mNKfate_upU,MY NEW SUPERCAR SHOWROOM IN CAR FOR SALE🤑| EXPENSIVE,NotGamerFleet,20,2026-06-09 07:38:40+00:00,753033,63460,10885,PT37M42S,7,Tuesday,June,9.87
PmgJNi0ksjI,"Hai Jawani Toh Ishq Hona Hai - Title Track | Varun, Mrunal, Pooja | Anu M, Javed - Mohsin, Sameer A",Tips Official,10,2026-06-08 05:30:23+00:00,3447873,11480,289,PT2M31S,5,Monday,June,0.34
D1qrLKVYCjc,"Anumana Pakshi Teaser | Rag Mayur | Vimal Krishna | Sri Charan Pakala | In Cinemas July 10, 2026",T-Series Telugu,10,2026-06-09 05:30:02+00:00,1213034,4175,1410,PT1M50S,5,Tuesday,June,0.46
gq53un-AHv0,1 VS 5 Speedrunner VS Hunter FINALE Rematch | Minecraft Manhunt,YesSmartyPie,20,2026-06-08 12:33:36+00:00,867000,63593,4476,PT1H23M4S,12,Monday,June,7.85
bxtQex-hios,Mera dil le gaya,Anita Vibe - Topic,10,2026-06-08 09:02:50+00:00,133725,274,0,PT3M18S,9,Monday,June,0.2
6b8SScUj3-A,Son of Thanjai Trailer Breakdown and Developer Interview #mrkk,Mr. KK - GNS,28,2026-06-09 13:10:21+00:00,56709,6058,316,PT26M28S,13,Tuesday,June,11.24
