video_id,title,channel,category_id,published_at,views,likes,comments,duration
9yBvX6extDA,Franklin & Shinchan Buy The World's Most Luxurious Camper Van In GTA 5! | GTA 5 Telugu Gameplay,Pennem Star,20,2026-06-08T11:05:20Z,449814,5693,90,PT29M44S
RrfFO5NMphc,Tanha Reh Jayege – Aarzoo Khaan | Emotional Hindi Sad Song | New Song 2026 | Arijit Singh Vibe,Aarzoo Khaan,10,2026-06-09T02:00:15Z,521708,3745,148,PT7M10S
d-PUa2YoiNg,"Raakh - Official Trailer 2 | Ali Fazal, Sonali Bendre, Aamir Bashir, Rakesh Bedi | Prime Video India",Prime Video India,24,2026-06-10T06:30:05Z,55472,1089,31,PT1M22S
KQsT2MdKHSA,🔴GTA 5 LIVE – DON’T BLINK I USED A SECRET GTA 5 MOD ON LIVE STREAM#gtalive #gtaonline,RSG SIDHARTH YT,20,2026-06-10T06:23:45Z,479969,1015,0,PT1H58M49S
RJLm5-QL61A,C Walk,Karan Aujla - Topic,10,2026-06-07T18:14:27Z,2493844,97686,4065,PT2M57S
FOoAcoG8lxo,Jeevan Bheema Yojana Official Teaser | Arshad Warsi Double Role | In Cinemas 2026,STARBEAM,24,2026-06-08T18:53:44Z,197762,3136,80,PT1M17S
Os-4ItYcJJQ,الرجل العنكبوت انقاذ باتمان Spider-Man Rescue batman vs iron man vs venom funny Game GTA 5 superhero,hamad alketbi,20,2026-06-09T16:26:18Z,924655,21529,4092,PT18M48S
_26Qk-hdN9A,"Jab Tum Aa Jaate Ho (From ""Maharaja"") Govinda, Manisha Koirala | Sonu Nigam | Kavita Krishnamurthy",UMusicIndiaVEVO,10,2026-06-08T05:30:35Z,328890,1522,10,PT6M15S
67ho3OxCmmM,Whalefall | Official Teaser | In Theaters October 16,20th Century Studios,1,2026-06-09T16:00:21Z,1940541,25064,3855,PT2M26S
IYmOWCddQe4,BECOME A BILLIONAIRE ROBLOX 😱,GamerBlox,20,2026-06-10T03:30:07Z,298177,20781,1745,PT21M54S
EBHqa0BnsIE,#Video गावे के हवेली | #Pramod Premi Yadav & #Karishma Kakkar | Gawe Ke Haweli | Bhojpuri Song 2026,Yuvraj Music,22,2026-06-08T01:15:10Z,90640,2665,110,PT3M18S
sF5HFoT0bhw,"SHIKAR - Trailer | Amlan, Elina, Supriya & Ankit | Raja 2026 | Moon TV Movies | Sidharth Music",Sidharth Music,10,2026-06-09T15:00:06Z,57139,3991,358,PT2M43S
mNKfate_upU,MY NEW SUPERCAR SHOWROOM IN CAR FOR SALE🤑| EXPENSIVE,NotGamerFleet,20,2026-06-09T07:38:40Z,753033,63460,10885,PT37M42S
PmgJNi0ksjI,"Hai Jawani Toh Ishq Hona Hai - Title Track | Varun, Mrunal, Pooja | Anu M, Javed - Mohsin, Sameer A",Tips Official,10,2026-06-08T05:30:23Z,3447873,11480,289,PT2M31S
D1qrLKVYCjc,"Anumana Pakshi Teaser | Rag Mayur | Vimal Krishna | Sri Charan Pakala | In Cinemas July 10, 2026",T-Series Telugu,10,2026-06-09T05:30:02Z,1213034,4175,1410,PT1M50S
gq53un-AHv0,1 VS 5 Speedrunner VS Hunter FINALE Rematch | Minecraft Manhunt,YesSmartyPie,20,2026-06-08T12:33:36Z,867000,63593,4476,PT1H23M4S
bxtQex-hios,Mera dil le gaya,Anita Vibe - Topic,10,2026-06-08T09:02:50Z,133725,274,0,PT3M18S
6b8SScUj3-A,Son of Thanjai Trailer Breakdown and Developer Interview #mrkk,Mr. KK - GNS,28,2026-06-09T13:10:21Z,56709,6058,316,PT26M28S
